"title","average_rental_payment"
"Flintstones Happiness","7.88"
"Gold River","6.99"
"Sweden Shining","6.70"
"Velvet Terminator","6.59"
"Pinocchio Simon","6.55"
"Anthem Luke","6.49"
"Pure Runner","6.42"
"Life Twisted","6.32"
"Dying Maker","6.24"
"Daddy Pittsburgh","6.16"
"Cat Coneheads","5.99"
"Snatch Slipper","5.88"
"Saturn Name","5.66"
"Element Freddy","5.59"
"Submarine Bed","5.59"
"Groundhog Uncut","5.42"
"Strictly Scarface","5.39"
"Trainspotting Strangers","5.32"
"Jaws Harry","5.19"
"Ferris Mother","4.99"
"Control Anthem","4.99"
"Searchers Wait","4.82"
"Bringing Hysterical","3.66"
"Party Knock","3.32"
"Rushmore Mermaid","3.32"
"Operation Operation","3.16"
"Wisdom Worker","2.99"
"Hedwig Alter","2.99"
"Crazy Home","2.99"
"Mallrats United","2.70"
"Tramp Others","2.62"
"Mystic Truman","2.24"
"Mulan Moon","2.19"
"Fireball Philadelphia","1.85"
"Caper Motions","1.32"
"Connection Microcosmos","1.32"
"Freedom Cleopatra","0.99"
