"country","average_rental_payment"
"Nepal","5.52"
"French Guiana","4.89"
"Turkmenistan","4.87"
"Kenya","4.81"
"Nauru","4.79"
"Armenia","4.75"
"Czech Republic","4.74"
"Runion","4.70"
"Ukraine","4.60"
"Chile","4.60"
"Yugoslavia","4.58"
"Holy See (Vatican City State)","4.58"
"Paraguay","4.56"
"Bahrain","4.53"
"Colombia","4.53"
"Malawi","4.51"
"Ecuador","4.50"
"Greece","4.45"
"Yemen","4.43"
"Madagascar","4.42"
"Netherlands","4.39"
"Latvia","4.38"
"Chad","4.38"
"Hong Kong","4.37"
"Thailand","4.36"
"Vietnam","4.36"
"Israel","4.36"
"Bangladesh","4.36"
"Egypt","4.34"
"Russian Federation","4.33"
"Italy","4.33"
"Puerto Rico","4.32"
"Canada","4.31"
"Iran","4.30"
"Brazil","4.29"
"South Korea","4.29"
"Malaysia","4.29"
"French Polynesia","4.28"
"Greenland","4.28"
"Spain","4.28"
"Turkey","4.27"
"Saudi Arabia","4.27"
"Kuwait","4.27"
"Nigeria","4.27"
"Poland","4.27"
"Tuvalu","4.26"
"Algeria","4.26"
"Gambia","4.25"
"United States","4.24"
"Belarus","4.24"
"India","4.24"
"Sweden","4.23"
"Azerbaijan","4.22"
"Morocco","4.22"
"Germany","4.21"
"South Africa","4.21"
"Switzerland","4.21"
"Mozambique","4.20"
"Philippines","4.19"
"Angola","4.17"
"Japan","4.17"
"United Kingdom","4.17"
"Mexico","4.16"
"Iraq","4.14"
"Tanzania","4.13"
"Sudan","4.13"
"Dominican Republic","4.11"
"Peru","4.11"
"Indonesia","4.09"
"Pakistan","4.08"
"United Arab Emirates","4.07"
"Bolivia","4.06"
"Austria","4.06"
"Zambia","4.06"
"Argentina","4.06"
"China","4.05"
"Bulgaria","4.05"
"Tonga","4.05"
"Venezuela","4.03"
"Faroe Islands","4.03"
"Congo, The Democratic Republic of the","4.01"
"Ethiopia","3.99"
"Senegal","3.99"
"Taiwan","3.98"
"Kazakstan","3.93"
"Virgin Islands, U.S.","3.93"
"Hungary","3.85"
"Liechtenstein","3.84"
"Sri Lanka","3.84"
"Myanmar","3.82"
"France","3.80"
"Estonia","3.78"
"Romania","3.77"
"Afghanistan","3.77"
"Moldova","3.75"
"Finland","3.75"
"New Zealand","3.73"
"North Korea","3.71"
"Oman","3.67"
"Cambodia","3.66"
"Cameroon","3.66"
"Saint Vincent and the Grenadines","3.60"
"Slovakia","3.51"
"Tunisia","3.35"
"American Samoa","3.19"
"Brunei","3.17"
"Anguilla","3.12"
"Lithuania","2.90"
