"title","genre","total_rental"
"Scalawag Duck","Music","157.71"
"Bucket Brotherhood","Travel","150.72"
"Massacre Usual","Games","149.75"
"Witches Panic","Drama","146.75"
"Forrester Comancheros","Animation","141.74"
"Boogie Amelie","Music","140.74"
"Fellowship Autumn","Travel","137.76"
"Confidential Interview","Music","136.76"
"Trip Newton","Action","135.74"
"Trading Pinocchio","Sports","133.77"
"Durham Panky","Sports","132.76"
"Aladdin Calendar","Sports","131.77"
"Lies Treatment","Drama","131.76"
"Coneheads Smoochy","Drama","131.76"
"Movie Shakespeare","Family","125.78"
"Heavyweights Beast","Documentary","123.78"
"Coma Head","Travel","122.77"
"Sleeping Suspects","Horror","121.78"
