"title","average_payment"
"Ace Goldfinger","7.5614285714285714"
"Agent Truman","5.8847368421052632"
"Airplane Sierra","5.5233333333333333"
"Airport Pollock","5.7900000000000000"
"Alabama Devil","5.9900000000000000"
"Aladdin Calendar","5.7291304347826087"
"Ali Forever","6.1011111111111111"
"Amelie Hellfighters","6.7900000000000000"
"American Circus","7.7268421052631579"
"Angels Life","5.1900000000000000"
"Anthem Luke","5.8081818181818182"
"Anything Savannah","5.4900000000000000"
"Apache Divine","5.7400000000000000"
"Attacks Hate","6.3650000000000000"
"Attraction Newton","6.0809090909090909"
"Autumn Crow","7.4900000000000000"
"Baby Hall","5.8471428571428571"
"Backlash Undefeated","8.8025000000000000"
"Baked Cleopatra","5.1233333333333333"
"Beast Hunchback","6.9900000000000000"
"Beauty Grease","5.9900000000000000"
"Behavior Runaway","7.9900000000000000"
"Betrayed Rear","6.1438461538461538"
"Beverly Outlaw","5.5138095238095238"
"Bikini Borrowers","5.7042857142857143"
"Bilko Anonymous","7.9066666666666667"
"Birch Antitrust","6.8081818181818182"
"Bird Independence","5.9900000000000000"
"Birds Perdition","6.0488235294117647"
"Blindness Gun","5.5284615384615385"
"Boiled Dares","5.1438461538461538"
"Boogie Amelie","5.6296000000000000"
"Bowfinger Gables","5.1718181818181818"
"Brannigan Sunrise","6.3233333333333333"
"Breakfast Goldfinger","6.5525000000000000"
"Bright Encounters","7.3233333333333333"
"Brooklyn Desert","5.6215789473684211"
"Bubble Grosse","5.9900000000000000"
"Bucket Brotherhood","5.3828571428571429"
"Bugsy Song","5.1011111111111111"
"Bunch Minds","5.1900000000000000"
"Calendar Gunfight","6.8788888888888889"
"California Birds","6.7172727272727273"
"Candidate Perdition","5.2247058823529412"
"Candles Grapes","5.5900000000000000"
"Caribbean Liberty","8.3650000000000000"
"Casablanca Super","5.1775000000000000"
"Casper Dragonfly","6.5614285714285714"
"Casualties Encino","7.7400000000000000"
"Cat Coneheads","5.9159259259259259"
"Cause Date","6.0426315789473684"
"Center Dinosaur","5.7995238095238095"
"Chamber Italian","5.0676923076923077"
"Champion Flatliners","6.2900000000000000"
"Chance Resurrection","5.1983333333333333"
"Charade Duffel","5.1438461538461538"
"Chasing Fight","5.5694736842105263"
"Chicago North","5.6566666666666667"
"Chisum Behavior","5.0900000000000000"
"Cincinatti Whisperer","6.5354545454545455"
"Clerks Angels","7.6566666666666667"
"Closer Bang","6.3650000000000000"
"Clue Grail","5.8471428571428571"
"Coldblooded Darling","5.6150000000000000"
"Coma Head","5.3378260869565217"
"Command Darling","6.7400000000000000"
"Coneheads Smoochy","5.4900000000000000"
"Confessions Maguire","5.4515384615384615"
"Confidential Interview","5.6983333333333333"
"Confused Candles","6.2400000000000000"
"Connecticut Tramp","6.8990909090909091"
"Conquerer Nuts","6.5284615384615385"
"Control Anthem","5.3233333333333333"
